Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Fixture_Adjusted_Value
Caicedo,Chelsea,MID,5.5,29,5.2727272727272725,0.1075,1.4681977816909915
Cullen,Burnley,MID,5.0,23,4.6,0.16265060240963855,1.4310937350380293
Semenyo,Bournemouth,MID,7.4,36,4.864864864864865,0.4875,1.377045491211808
Enzo,Chelsea,MID,6.6,29,4.3939393939393945,0.5637931034482759,1.3641508497288568
Anthony,Burnley,MID,5.5,24,4.363636363636363,0.50625,1.3581216435549572
Garner,Everton,MID,5.0,21,4.2,0.0425,1.2636036104613886
L.Paquetá,West Ham,MID,5.9,23,3.8983050847457625,0.37388724035608306,1.23162339325678
Grealish,Everton,MID,6.7,24,3.582089552238806,0.5034965034965035,1.1444808820354455
Tavernier,Bournemouth,MID,5.5,20,3.6363636363636362,0.3090361445783132,1.1404862034701113
Zubimendi,Arsenal,MID,5.5,25,4.545454545454546,0.025,1.1336014307150768
João Pedro,Chelsea,FWD,7.7,33,4.285714285714286,0.4090909090909091,1.2960141488029229
Richarlison,Spurs,FWD,6.7,20,2.9850746268656714,0.35369649805447473,0.9442494939518095
Ekitiké,Liverpool,FWD,8.8,24,2.727272727272727,0.4304347826086956,0.8647488078327921
Haaland,Man City,FWD,14.1,37,2.624113475177305,1.1076923076923078,0.7460160584679413
Gyökeres,Arsenal,FWD,9.0,20,2.2222222222222223,0.45,0.644821624780635
Guéhi,Crystal Palace,DEF,4.6,29,6.304347826086957,0.045,1.91714469199666
Senesi,Bournemouth,DEF,4.6,28,6.086956521739131,0.0575,1.9013561009041295
Chalobah,Chelsea,DEF,5.1,30,5.882352941176471,0.20502958579881658,1.855215455212294
J.Timber,Arsenal,DEF,5.6,34,6.071428571428572,0.3435114503816794,1.8067012646603184
Calafiori,Arsenal,DEF,5.7,33,5.7894736842105265,0.4515463917525773,1.7760415530859057
Lacroix,Crystal Palace,DEF,5.0,28,5.6,0.055,1.6933177247062712
Van de Ven,Spurs,DEF,4.6,27,5.869565217391305,0.15730659025787966,1.5347957865211304
Rodon,Leeds,DEF,4.0,20,5.0,0.0,1.529951870137405
Livramento,Newcastle,DEF,5.1,25,4.901960784313726,0.065,1.46924610582967
Romero,Spurs,DEF,5.0,27,5.4,0.0075,1.4613093049719887
Roefs,Sunderland,GKP,4.5,27,6.0,0.0,1.692895881931038
Vicario,Spurs,GKP,5.0,29,5.8,0.0025,1.6843203635620914
Pope,Newcastle,GKP,5.0,26,5.2,0.0,1.518963611725263
Pickford,Everton,GKP,5.5,24,4.363636363636363,0.0025,1.309094649532648
Raya,Arsenal,GKP,5.5,24,4.363636363636363,0.005,1.2894044709555375
